,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tBodyAcc-mad()-X,tBodyAcc-mad()-Y,tBodyAcc-mad()-Z,tBodyAcc-max()-X,tBodyAcc-max()-Y,tBodyAcc-max()-Z,tBodyAcc-min()-X,tBodyAcc-min()-Y,tBodyAcc-min()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyro-mad()-X,tBodyGyro-mad()-Y,tBodyGyro-mad()-Z,tBodyGyro-max()-X,tBodyGyro-max()-Y,tBodyGyro-max()-Z,tBodyGyro-min()-X,tBodyGyro-min()-Y,tBodyGyro-min()-Z,fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAcc-mad()-X,fBodyAcc-mad()-Y,fBodyAcc-mad()-Z,fBodyAcc-max()-X,fBodyAcc-max()-Y,fBodyAcc-max()-Z,fBodyAcc-min()-X,fBodyAcc-min()-Y,fBodyAcc-min()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyGyro-mad()-X,fBodyGyro-mad()-Y,fBodyGyro-mad()-Z,fBodyGyro-max()-X,fBodyGyro-max()-Y,fBodyGyro-max()-Z,fBodyGyro-min()-X,fBodyGyro-min()-Y,fBodyGyro-min()-Z,subject,Activity
0,0.28858451,-0.020294171,-0.13290514,-0.9952786,-0.98311061,-0.91352645,-0.99511208,-0.98318457,-0.92352702,-0.93472378,-0.56737807,-0.74441253,0.85294738,0.68584458,0.81426278,-0.0061008489,-0.031364791,0.1077254,-0.98531027,-0.97662344,-0.99220528,-0.98458626,-0.97635262,-0.99236164,-0.86704374,-0.93378602,-0.74756618,0.84730796,0.91489534,0.83084054,-0.99478319,-0.9829841,-0.93926865,-0.99542175,-0.98313297,-0.90616498,-0.99688864,-0.98451927,-0.932082,-0.99375634,-0.98316285,-0.88505422,-0.99396185,-0.99344611,-0.92342772,-0.98657442,-0.98176153,-0.98951478,-0.98503264,-0.97388607,-0.99403493,-0.98653085,-0.98361636,-0.99235201,-0.98049843,-0.97227092,-0.99494426,-0.99756862,-0.9840851,-0.99433541,1,0
1,0.27841883,-0.016410568,-0.12352019,-0.99824528,-0.97530022,-0.96032199,-0.99880719,-0.97491437,-0.95768622,-0.94306751,-0.55785126,-0.81840869,0.84930787,0.68584458,0.82263681,-0.01611162,-0.083893777,0.10058429,-0.98311996,-0.9890458,-0.98912123,-0.98689045,-0.98903796,-0.98918458,-0.86490382,-0.95356049,-0.74587,0.83372106,0.90810964,0.82893499,-0.99745072,-0.97685173,-0.97352267,-0.99868026,-0.97492981,-0.95543811,-0.99788967,-0.97692389,-0.96837677,-0.99937173,-0.97377026,-0.94877678,-0.99828058,-0.9927209,-0.98951355,-0.97738671,-0.99253003,-0.98960578,-0.98490434,-0.98716807,-0.98978468,-0.97936121,-0.99183683,-0.98796514,-0.98735382,-0.98478644,-0.99015077,-0.98689184,-0.99905355,-0.99441373,1,0
2,0.27965306,-0.019467156,-0.11346169,-0.99537956,-0.96718701,-0.97894396,-0.99651994,-0.96366837,-0.97746859,-0.93869155,-0.55785126,-0.81840869,0.84360895,0.68240094,0.83934417,-0.031698294,-0.10233542,0.096126876,-0.97629211,-0.99355182,-0.98637871,-0.97492153,-0.99412211,-0.98578618,-0.86490382,-0.95904912,-0.7432771,0.83372106,0.9057528,0.82893499,-0.99359409,-0.97251146,-0.98330396,-0.99631281,-0.96550593,-0.97704932,-0.99409744,-0.9716867,-0.98216914,-0.99815849,-0.96307185,-0.96859592,-0.99709373,-0.98992357,-0.99088566,-0.97543322,-0.99371467,-0.9867557,-0.97664224,-0.99339895,-0.98732821,-0.9756091,-0.9937071,-0.98503032,-0.97290121,-0.99498597,-0.991283,-0.98831166,-0.99723271,-0.99363603,1,0
3,0.27917394,-0.026200646,-0.12328257,-0.99609149,-0.9834027,-0.9906751,-0.99709947,-0.98274984,-0.9893025,-0.93869155,-0.57615889,-0.82971145,0.84360895,0.68240094,0.83786929,-0.043409983,-0.091386182,0.085537699,-0.9913848,-0.99240732,-0.98755418,-0.99158889,-0.99314207,-0.98958491,-0.88532038,-0.95665634,-0.7432771,0.83416396,0.9057528,0.82663382,-0.99549062,-0.98356972,-0.99107978,-0.99631211,-0.98324437,-0.99022911,-0.99454681,-0.98282406,-0.98900729,-0.99740352,-0.98727492,-0.98775434,-0.99443193,-0.99025892,-0.99657785,-0.98710958,-0.99360151,-0.98719126,-0.99281036,-0.99164605,-0.98867764,-0.98967126,-0.9934607,-0.98652638,-0.99451839,-0.99180141,-0.99228069,-0.98970064,-0.99434379,-0.9931436,1,0
4,0.27662877,-0.016569655,-0.11536185,-0.99813862,-0.98081727,-0.99048163,-0.99832113,-0.97967187,-0.99044113,-0.94246912,-0.56917385,-0.82470529,0.84909512,0.68324978,0.83786929,-0.033960416,-0.074708034,0.077392035,-0.98518357,-0.99237812,-0.98740185,-0.9869437,-0.9925425,-0.98816283,-0.87015408,-0.95335965,-0.74977993,0.83909061,0.9111845,0.82137436,-0.99728592,-0.98230099,-0.98836944,-0.99860647,-0.98012947,-0.99191496,-0.99772495,-0.98235278,-0.99091458,-0.99927743,-0.9808482,-0.9891165,-0.99496791,-0.9917884,-0.9744938,-0.98244648,-0.9929838,-0.98866644,-0.98598182,-0.99195582,-0.98794433,-0.98258095,-0.99334263,-0.98646125,-0.98795019,-0.99322827,-0.99144358,-0.9937381,-0.99372533,-0.99483517,1,0
5,0.27719877,-0.01009785,-0.10513725,-0.99733496,-0.99048681,-0.99542003,-0.9976274,-0.99021769,-0.9955489,-0.94246912,-0.56568389,-0.82276614,0.84909512,0.69558572,0.84592156,-0.028775508,-0.070393108,0.079012142,-0.9851808,-0.99211748,-0.98307675,-0.9857856,-0.99226868,-0.98270493,-0.87015408,-0.95335965,-0.74639935,0.83980804,0.9111845,0.81882667,-0.99665675,-0.9869395,-0.9927386,-0.9976438,-0.99226365,-0.99704592,-0.99660484,-0.98989887,-0.9950483,-0.99859793,-0.99341435,-0.99830598,-0.99567862,-0.9952322,-0.98632815,-0.98489022,-0.99278621,-0.9807784,-0.98528707,-0.99165953,-0.9853661,-0.98343427,-0.99291055,-0.98408829,-0.98296563,-0.99319897,-0.98764433,-0.99936094,-0.99784518,-0.98160068,1,0
6,0.27945388,-0.019640776,-0.11002215,-0.99692104,-0.96718593,-0.98311783,-0.99700268,-0.96609671,-0.98311627,-0.94098663,-0.56568389,-0.81718902,0.85104022,0.67434716,0.83359122,-0.028600251,-0.083046734,0.095464555,-0.98817723,-0.98920571,-0.9791538,-0.98772264,-0.98974013,-0.98000049,-0.88084649,-0.95431618,-0.74259419,0.83923216,0.90706202,0.81882667,-0.99584913,-0.96761161,-0.98412325,-0.99746125,-0.96792578,-0.98288731,-0.99750802,-0.97190795,-0.98307681,-0.99695738,-0.9687288,-0.97693806,-0.99542093,-0.99595351,-0.99628422,-0.98602735,-0.99049909,-0.97845604,-0.98878814,-0.98840583,-0.9811471,-0.98515649,-0.98992456,-0.97827075,-0.99048358,-0.99154606,-0.98668494,-0.99997402,-0.9944008,-0.99330583,1,0
7,0.27743247,-0.030488303,-0.12536043,-0.99655926,-0.96672843,-0.98158533,-0.99648525,-0.96631315,-0.98298176,-0.94098663,-0.57263824,-0.81718902,0.85032778,0.67041013,0.83238324,-0.024200262,-0.07789261,0.094095607,-0.98910723,-0.98740324,-0.97851956,-0.98912885,-0.98760547,-0.97619224,-0.87891649,-0.95332025,-0.74259419,0.83923216,0.90706202,0.82554291,-0.99519276,-0.97429127,-0.98865193,-0.99727933,-0.96410195,-0.97807586,-0.99603738,-0.97333902,-0.98514797,-0.99834695,-0.96242605,-0.96650853,-0.9918539,-0.99850476,-0.99373529,-0.98733016,-0.99001425,-0.98036083,-0.98960041,-0.9859172,-0.97968102,-0.98777519,-0.99002055,-0.97914431,-0.989859,-0.98569506,-0.98162021,-0.99580286,-0.99488144,-0.99296719,1,0
8,0.27729342,-0.021750698,-0.12075082,-0.99732847,-0.96124532,-0.98367156,-0.99759576,-0.95723623,-0.98437928,-0.94059758,-0.56417505,-0.82352693,0.85032778,0.67041013,0.83238324,-0.024831025,-0.066401639,0.077862982,-0.99088198,-0.99289135,-0.98724152,-0.99050928,-0.99390677,-0.98783081,-0.87891649,-0.95332025,-0.7494695,0.84240348,0.90784028,0.82171549,-0.99709991,-0.96820527,-0.99063224,-0.99736759,-0.95918148,-0.98005989,-0.99736252,-0.97045365,-0.98805648,-0.99717366,-0.95385927,-0.96807456,-0.99834935,-0.97399271,-0.9858658,-0.98909792,-0.99196691,-0.98402803,-0.99137591,-0.99351595,-0.98962879,-0.98874778,-0.99410988,-0.98643091,-0.99211007,-0.99370115,-0.99318198,-0.99940033,-0.98155042,-0.98705495,1,0
9,0.28058569,-0.0099602983,-0.10606516,-0.99480344,-0.9727584,-0.98624387,-0.99540462,-0.97366322,-0.98564195,-0.94002751,-0.55459369,-0.81585037,0.84544241,0.68475694,0.83845531,-0.0234154,-0.070925683,0.078975843,-0.98493784,-0.98730376,-0.98084404,-0.98510311,-0.98889564,-0.98297435,-0.87157112,-0.9486937,-0.74774134,0.83673943,0.90737892,0.80670461,-0.99351933,-0.97031864,-0.98609566,-0.99538845,-0.97479378,-0.98653557,-0.99334566,-0.97124145,-0.98580244,-0.99691343,-0.98439542,-0.98585244,-0.99925069,-0.99904143,-0.99578494,-0.98177767,-0.98800114,-0.97745298,-0.98586913,-0.9868624,-0.98378763,-0.9813096,-0.98683188,-0.97664881,-0.98817202,-0.991353,-0.99103107,-0.99878888,-0.99127092,-0.98750732,1,0
